,nazev_skoly,mc,id,poskytovani_vzdelani,volna_mista,deti_ze_spadove_oblasti,podanych_zadosti,prijatych_zaku,neprijatych_zaku,individualni_dochazka,prerusenych_rizeni
99,"Mateřská škola, Brno, Neklež 1a, příspěvková organizace",lisen,99,Neklež 1a,199,37,62,0,0,0,0
100,"Mateřská škola, Brno, Nopova 15",zidenice,100,Nopova 15,200,29,112,0,0,0,0
101,"Mateřská škola, Brno, Oderská 2",stary_liskovec,101,Oderská 2,201,29,50,0,0,0,0
102,"Mateřská škola, Brno, Puchýřova 13a, příspěvková organizace",reckovice,102,Puchýřova 13a,202,29,91,0,0,0,0
103,"Mateřská škola, Brno, Purkyňova 21, příspěvková organizace",kralovo_pole,103,Purkyňova 21,203,11,83,0,0,0,0
104,"Mateřská škola, Brno, Synkova 24, příspěvková organizace",lisen,104,Synkova 24,204,25,77,0,0,0,0
105,"Mateřská škola, Brno, Šaumannova 20",zidenice,105,Šaumannova 20,205,26,86,0,0,0,0
106,"Mateřská škola, Brno, Štolcova 21, příspěvková organizace",cernovice,106,Štolcova 21,206,31,88,0,0,0,0
107,"Mateřská škola, Brno, Trnkova 81, příspěvková organizace",lisen,107,Trnkova 81,207,21,57,0,0,0,0
108,"Mateřská škola, Brno, Vackova 70, příspěvková organizace",kralovo_pole,108,Vackova 70,208,22,100,1,0,0,0
109,"Mateřská škola, Brno, Žižkova 57, příspěvková organizace",zabovresky,109,Žižkova 57,209,37,66,0,0,0,0
110,"Mateřská škola,Brno, Bosonožská 4",stary_liskovec,110,Bosonožská 4,210,26,60,0,0,0,0
111,"Základní škola a mateřská škola Brno, Antonínská 3, příspěvková organizace",stred,111,Bayerova 5/575,211,26,117,0,0,0,0
112,"Základní škola a mateřská škola Brno, Blanenská 1, přísp.org.",jehnice,112,Blanenská 1,212,10,29,0,0,0,0
113,"Základní škola a mateřská škola Brno, Antonínská 3, příspěvková organizace",sever,113,Bayerova 5/575,213,26,117,0,0,0,0
114,"Základní škola a Mateřská škola Brno, Bosonožské nám 44, příspěvková organizace",bosonohy,114,Konopiska 6,214,23,38,0,0,0,0
115,"Základní škola a mateřská škola Brno, Antonínská 3, příspěvková organizace",stred,115,Bayerova 5/575,215,26,117,0,0,0,0
116,"Základní škola a mateřská škola Brno, Husova 17, příspěvková organizace",stred,116,Jánská 22,216,26,66,0,0,0,0
117,"Základní škola a Mateřská škola Brno, Chalabalova 2, příspěvková organizace",kohoutovice,117,"Chalabalova 2
Libušina tř. 15",217,41,53,0,0,0,0
118,"Základní škola a mateřská škola Brno, Jihomoravské nám. 2, příspěvková organizace",slatina,118,"Jihomoravské nám. 2
Jihomoravské nám. 4",218,72,98,11,0,0,0
119,"Základní škola a mateřská škola Brno, Křenová 21, příspěvková organizace",stred,119,Mlýnská 27,219,10,7,0,0,0,0
120,"Základní škola a mateřská škola Brno, Křídlovická 30b, příspěvková organizace",stred,120,Křídlovická 30b,220,21,84,0,0,0,0
121,"Základní škola a Mateřská škola Brno, Merhautova 37, příspěvková organizace",sever,121,"Merhautova 37
Vranovská 17
Sýpka 26a",221,46,104,0,0,0,0
122,"Základní škola a mateřská škola Brno, Antonínská 3, příspěvková organizace",sever,122,Bayerova 5/575,222,26,117,0,0,0,0
123,"Základní škola a mateřská škola Brno, nám 28. října 22 (pracoviště Stará 13/15), příspěvková organizace",stred,123,Stará 13/15,223,62,24,0,0,0,0
124,"Základní škola a mateřská škola Brno, nám 28. října 22, příspěvková organizace",stred,124,nám 28. října 21,224,62,51,0,0,0,0
125,"Základní škola a Mateřská škola Brno, nám. Svornosti 7, příspěvková organizace",zabovresky,125,nám. Svornosti 8,225,74,131,0,0,0,0
126,"Základní škola a Mateřská škola Brno, Pastviny 70, příspěvková organizace",komin,126,Pastviny 70,226,23,87,0,0,0,0
127,"Základní škola a mateřská škola Brno, Přemyslovo nám.1, příspěvková organizace",slatina,127,Přemyslovo nám. 1,227,2,76,0,0,0,0
128,"Základní škola a mateřská škola Brno, Vedlejší 10",bohunice,128,"Vedlejší 10
Pod Nemocnicí 25",228,23,79,0,0,0,0
129,"Základní škola a Mateřská škola, Brno, Elišky Přemyslovny 10, příspěvková organizace",stary_liskovec,129,E. Přemyslovny 10,229,19,54,0,0,0,0
130,"Základní škola a mateřská škola Brno, Horní 16, příspěvková organizace",lisen,130,Horní 16,230,6,47,0,0,0,0
131,"Základní škola a Mateřská škola, Brno, Jana Broskvy 3, příspěvková organizace, 643 00  Brno",chrlice,131,Jana Broskvy 3,231,9,23,0,0,0,0
132,"Základní škola a mateřská škola, Brno, Kotlářská 4, příspěvková organizace",stred,132,"Kotlářská 4
Kotlářská 11",232,39,177,0,0,0,0
133,"Základní škola a mateřská škola Brno, Antonínská 3, příspěvková organizace",kralovo_pole,133,Bayerova 5/575,233,26,117,0,0,0,0
134,"Základní škola J.A.Komenského a Mateřská škola Brno, nám. Republiky 10, příspěvková organizace",sever,134,Cacovická 6,234,27,23,0,0,0,0
135,"Mateřská škola Brno, Štolcova 51, příspěvková organizace",Brno,135,Štolcova 51,235,0,26,3,0,0,0
136,"Mateřská škola Brno, Veslařská 256, příspěvková organizace",Brno,136,Veslařská 256,236,0,49,0,0,0,0
